X1,X2,X3,X4,X5,href
15,4592,20190831,中国2019年1-8月对部分国家(地区)出口商品类章金额统计(十八)(7518字),精讯数据,/IrisBin/Text.dll?db=TJ&no=816582&cs=936769&str=对部分国家+出口商品类章+海关统计
16,4591,20190831,中国2019年1-8月对部分国家(地区)出口商品类章金额统计(十七)(7667字),精讯数据,/IrisBin/Text.dll?db=TJ&no=816581&cs=4987534&str=对部分国家+出口商品类章+海关统计
17,4590,20190831,中国2019年1-8月对部分国家(地区)出口商品类章金额统计(十六)(7258字),精讯数据,/IrisBin/Text.dll?db=TJ&no=816580&cs=16661106&str=对部分国家+出口商品类章+海关统计
18,4589,20190831,中国2019年1-8月对部分国家(地区)出口商品类章金额统计(十五)(7440字),精讯数据,/IrisBin/Text.dll?db=TJ&no=816579&cs=15784268&str=对部分国家+出口商品类章+海关统计
19,4588,20190831,中国2019年1-8月对部分国家(地区)出口商品类章金额统计(十四)(7520字),精讯数据,/IrisBin/Text.dll?db=TJ&no=816578&cs=15073785&str=对部分国家+出口商品类章+海关统计
20,4587,20190831,中国2019年1-8月对部分国家(地区)出口商品类章金额统计(十三)(7716字),精讯数据,/IrisBin/Text.dll?db=TJ&no=816577&cs=14527156&str=对部分国家+出口商品类章+海关统计
21,4586,20190831,中国2019年1-8月对部分国家(地区)出口商品类章金额统计(十二)(7459字),精讯数据,/IrisBin/Text.dll?db=TJ&no=816576&cs=4605330&str=对部分国家+出口商品类章+海关统计
22,4585,20190831,中国2019年1-8月对部分国家(地区)出口商品类章金额统计(十一)(7594字),精讯数据,/IrisBin/Text.dll?db=TJ&no=816575&cs=11411171&str=对部分国家+出口商品类章+海关统计
23,4584,20190831,中国2019年1-8月对部分国家(地区)出口商品类章金额统计(十)(8450字),精讯数据,/IrisBin/Text.dll?db=TJ&no=816574&cs=2968295&str=对部分国家+出口商品类章+海关统计
24,4583,20190831,中国2019年1-8月对部分国家(地区)出口商品类章金额统计(九)(8453字),精讯数据,/IrisBin/Text.dll?db=TJ&no=816573&cs=8847778&str=对部分国家+出口商品类章+海关统计
25,4582,20190831,中国2019年1-8月对部分国家(地区)出口商品类章金额统计(八)(7489字),精讯数据,/IrisBin/Text.dll?db=TJ&no=816572&cs=3470888&str=对部分国家+出口商品类章+海关统计
26,4581,20190831,中国2019年1-8月对部分国家(地区)出口商品类章金额统计(七)(7636字),精讯数据,/IrisBin/Text.dll?db=TJ&no=816571&cs=11860144&str=对部分国家+出口商品类章+海关统计
27,4580,20190831,中国2019年1-8月对部分国家(地区)出口商品类章金额统计(六)(7558字),精讯数据,/IrisBin/Text.dll?db=TJ&no=816570&cs=15517303&str=对部分国家+出口商品类章+海关统计
28,4579,20190831,中国2019年1-8月对部分国家(地区)出口商品类章金额统计(五)(7748字),精讯数据,/IrisBin/Text.dll?db=TJ&no=816569&cs=8549789&str=对部分国家+出口商品类章+海关统计
29,4578,20190831,中国2019年1-8月对部分国家(地区)出口商品类章金额统计(四)(7640字),精讯数据,/IrisBin/Text.dll?db=TJ&no=816568&cs=3429839&str=对部分国家+出口商品类章+海关统计
30,4577,20190831,中国2019年1-8月对部分国家(地区)出口商品类章金额统计(三)(7676字),精讯数据,/IrisBin/Text.dll?db=TJ&no=816567&cs=11452809&str=对部分国家+出口商品类章+海关统计
31,4576,20190831,中国2019年1-8月对部分国家(地区)出口商品类章金额统计(二)(7886字),精讯数据,/IrisBin/Text.dll?db=TJ&no=816566&cs=154231&str=对部分国家+出口商品类章+海关统计
32,4575,20190831,中国2019年1-8月对部分国家(地区)出口商品类章金额统计(一)(7911字),精讯数据,/IrisBin/Text.dll?db=TJ&no=816565&cs=14531525&str=对部分国家+出口商品类章+海关统计
33,4574,20190731,中国2019年1-7月对部分国家(地区)出口商品类章金额统计(二十二)(7715字),精讯数据,/IrisBin/Text.dll?db=TJ&no=816290&cs=15687123&str=对部分国家+出口商品类章+海关统计
34,4573,20190731,中国2019年1-7月对部分国家(地区)出口商品类章金额统计(二十一)(7810字),精讯数据,/IrisBin/Text.dll?db=TJ&no=816289&cs=12911739&str=对部分国家+出口商品类章+海关统计
35,4572,20190731,中国2019年1-7月对部分国家(地区)出口商品类章金额统计(二十)(7364字),精讯数据,/IrisBin/Text.dll?db=TJ&no=816288&cs=1879053&str=对部分国家+出口商品类章+海关统计
